;Откуда;Куда;Дата погрузки;Время погрузки;Тип загрузки
0;Шилыково;Ясногорск;01.04.2023;15:00;любой
1;Ясногорск;Шилыково;02.04.2023;;любой
1;Кохма;Ясногорск;01.04.2023;15:00;любой
2;Рыбинск;Ясногорск;01.04.2023;;любой
3;Новороссийск;Краснодар;01.04.2023;15:00;любой
4;Константиновское;Ясногорск;01.04.2023;15:00;любой
5;Константиновское;Ясногорск;01.04.2023;15:00;любой
6;Ростов;Ясногорск;01.04.2023;15:00;любой
7;Рыбинск;Чебоксары;01.04.2023;;любой
8;Шуя;Ясногорск;01.04.2023;15:00;любой
9;Рыбинск;Богородск;01.04.2023;00:00;любой
10;Рыбинск;Ясногорск;01.04.2023;00:00;любой
11;Лежнево;Ясногорск;01.04.2023;15:00;любой
12;Иваново;Ясногорск;01.04.2023;15:00;любой
13;Ясногорск;Дзержинск;01.04.2023;20:00;любой
14;Рыбинск;Ульяновск;01.04.2023;00:00;любой
15;Ясногорск;Дзержинск;02.04.2023;22:00;любой
16;Ясногорск;Дзержинск;02.04.2023;22:00;любой
17;Тула;Ясногорск;01.04.2023;15:00;любой
18;Иваново;Ясногорск;01.04.2023;15:00;любой
19;Рязань;Ясногорск;01.04.2023;15:00;любой
20;Новомосковск;Ясногорск;01.04.2023;15:00;любой
21;Новороссийск;Кропоткин;01.04.2023;14:55;любой
22;Фурманов;Ясногорск;01.04.2023;15:00;любой
23;Иваново;Ясногорск;01.04.2023;15:00;любой
24;Иваново;Ясногорск;01.04.2023;15:00;любой
25;Иваново;Ясногорск;01.04.2023;15:00;любой
26;Тейково;Ясногорск;01.04.2023;15:00;любой
27;Коляновское;Ясногорск;01.04.2023;15:00;любой
28;Новороссийск;Кропоткин;01.04.2023;17:00;любой
29;Новороссийск;Пятигорск;02.04.2023;15:30;любой
30;Рыбинск;Ковров;02.04.2023;00:00;любой
31;Рыбинск;Осиново;02.04.2023;00:00;любой
32;Шилыково;Ясногорск;02.04.2023;15:00;любой
33;Шуя;Ясногорск;02.04.2023;15:00;любой
34;Рыбинск;Чебоксары;02.04.2023;00:00;любой
35;Тула;Ясногорск;02.04.2023;15:00;любой
36;Лежнево;Ясногорск;02.04.2023;15:00;любой
37;Серпухов;Ясногорск;02.04.2023;15:00;любой
38;Серпухов;Ясногорск;02.04.2023;15:00;любой
39;Иваново;Ясногорск;02.04.2023;15:00;любой
40;Лежнево;Ясногорск;02.04.2023;15:00;любой
41;Иваново;Ясногорск;02.04.2023;;любой
42;Иваново;Ясногорск;02.04.2023;15:00;любой
43;Кохма;Ясногорск;02.04.2023;15:00;любой
44;Лежнево;Ясногорск;02.04.2023;15:00;любой
45;Приволжск;Ясногорск;02.04.2023;15:00;любой
46;Иваново;Ясногорск;02.04.2023;16:00;любой
47;Иваново;Ясногорск;02.04.2023;16:00;любой
48;Фурманов;Ясногорск;02.04.2023;15:00;любой
49;Приволжск;Ясногорск;03.04.2023;12:00;любой
50;Иваново;Ясногорск;02.04.2023;15:00;любой
51;Новороссийск;Кропоткин;02.04.2023;15:55;любой
52;Новороссийск;Пятигорск;02.04.2023;15:00;любой
53;Новороссийск;Краснодар;02.04.2023;12:00;любой
54;Новомосковск;Ясногорск;03.04.2023;10:00;любой
55;Рязань;Ясногорск;02.04.2023;21:00;любой
56;Рыбинск;Новороссийск;03.04.2023;00:00;любой
57;Рыбинск;Новороссийск;03.04.2023;00:00;любой
58;Рыбинск;Новороссийск;03.04.2023;00:00;любой
59;Рыбинск;Новороссийск;03.04.2023;00:00;любой
60;Рыбинск;Новороссийск;04.04.2023;00:00;любой
61;Рыбинск;Новороссийск;04.04.2023;00:00;любой
62;Рыбинск;Новороссийск;04.04.2023;00:00;любой
63;Кохма;Ясногорск;03.04.2023;15:00;любой
64;Чернореченский;Ясногорск;03.04.2023;15:00;любой
65;Шуя;Ясногорск;03.04.2023;15:00;любой
66;Серпухов;Ясногорск;03.04.2023;14:00;любой
67;Богородское;Ясногорск;03.04.2023;15:00;любой
68;Иваново;Ясногорск;03.04.2023;15:00;любой
69;Ясногорск;Дзержинск;06.04.2023;21:00;любой
70;Ясногорск;Дзержинск;06.04.2023;22:00;любой
71;Константиновское;Ясногорск;03.04.2023;15:00;любой
72;Лежнево;Ясногорск;03.04.2023;15:00;любой
73;Серпухов;Ясногорск;03.04.2023;15:00;любой
74;Ясногорск;Зеленодольск;03.04.2023;23:00;любой
75;Ясногорск;Зеленодольск;05.04.2023;22:00;любой
76;Иваново;Ясногорск;03.04.2023;15:00;любой
77;Малоярославец;Ясногорск;03.04.2023;14:00;любой
78;Гусь-Хрустальный;Ясногорск;03.04.2023;15:00;любой
79;Богородицк;Ясногорск;03.04.2023;15:00;любой
80;Новороссийск;Кропоткин;03.04.2023;00:00;любой
81;Новороссийск;Пятигорск;04.04.2023;16:55;любой
82;Новороссийск;Пятигорск;04.04.2023;16:55;любой
83;Новороссийск;Пятигорск;03.04.2023;13:30;любой
84;Адыгейск;Новороссийск;03.04.2023;17:00;любой
85;Новороссийск;Краснодар;03.04.2023;18:30;любой
86;Рыбинск;Ясногорск;05.04.2023;00:00;любой
87;Рыбинск;Ясногорск;05.04.2023;00:00;любой
88;Рыбинск;Ясногорск;06.04.2023;00:00;любой
89;Рыбинск;Ясногорск;06.04.2023;00:00;любой
90;Рыбинск;Ясногорск;06.04.2023;00:00;любой
91;Рыбинск;Ковров;06.04.2023;00:00;любой
92;Ясногорск;Фурманов;05.04.2023;22:00;любой
93;Ясногорск;Фурманов;06.04.2023;22:00;любой
94;Ясногорск;Фурманов;06.04.2023;23:00;любой
95;Рыбинск;Осиново;06.04.2023;00:00;любой
96;Рыбинск;Чебоксары;06.04.2023;00:00;любой
97;Рыбинск;Рязань;06.04.2023;00:00;любой
98;Рыбинск;Ясногорск;06.04.2023;00:00;любой
99;Иваново;Ясногорск;03.04.2023;15:00;любой
100;Новороссийск;Кропоткин;06.04.2023;17:55;любой
101;Новороссийск;Пятигорск;06.04.2023;12:00;любой
102;Новороссийск;Пятигорск;06.04.2023;16:55;любой
103;Рыбинск;Курск;08.04.2023;00:00;любой
104;Рыбинск;Ясногорск;07.04.2023;00:00;любой
105;Ясногорск;Дзержинск;08.04.2023;20:00;любой
106;Рыбинск;Ясногорск;07.04.2023;00:00;любой
107;Ясногорск;Дзержинск;08.04.2023;21:00;любой
108;Новороссийск;Кропоткин;07.04.2023;16:15;любой
109;Новороссийск;Кропоткин;07.04.2023;12:00;любой
110;Иваново;Рыбинск;07.04.2023;00:00;любой
111;Иваново;Рыбинск;07.04.2023;00:00;любой
112;Иваново;Рыбинск;07.04.2023;00:00;любой
113;Иваново;Рыбинск;07.04.2023;00:00;любой
114;Рыбинск;Чебоксары;07.04.2023;00:00;любой
115;Ростов;Ясногорск;07.04.2023;15:00;любой
116;Рязань;Ясногорск;07.04.2023;15:00;любой
117;Ростов;Ясногорск;07.04.2023;15:00;любой
118;Иваново;Ясногорск;07.04.2023;15:00;любой
119;Иваново;Рыбинск;07.04.2023;00:00;любой
120;Лежнево;Ясногорск;07.04.2023;15:00;любой
121;Суворов;Ясногорск;07.04.2023;15:00;любой
122;Ясногорск;Фурманов;07.04.2023;22:00;любой
123;Ясногорск;Фурманов;07.04.2023;23:00;любой
124;Владимир;Ясногорск;07.04.2023;15:00;любой
125;Тула;Ясногорск;07.04.2023;15:00;любой
126;Чехов;Ясногорск;08.04.2023;10:00;любой
127;Бибирево;Ясногорск;07.04.2023;16:00;любой
128;Тула;Ясногорск;07.04.2023;15:00;любой
129;Константиновское;Ясногорск;07.04.2023;15:00;любой
130;Приволжск;Ясногорск;07.04.2023;15:00;любой
131;Иваново;Ясногорск;07.04.2023;15:00;любой
132;Ясногорск;Фурманов;07.04.2023;23:00;любой
133;Иваново;Ясногорск;07.04.2023;15:00;любой
134;Новочебоксарск;Ясногорск;07.04.2023;15:00;любой
135;Иваново;Ясногорск;07.04.2023;16:00;любой
136;Иваново;Ясногорск;07.04.2023;16:00;любой
137;Иваново;Рыбинск;07.04.2023;00:00;задний
138;Иваново;Рыбинск;07.04.2023;00:00;задний
139;Казань;Рыбинск;07.04.2023;00:00;боковой
140;Новороссийск;Пятигорск;07.04.2023;13:30;любой
141;Казань;Рыбинск;07.04.2023;00:00;боковой
142;Казань;Рыбинск;07.04.2023;00:00;задний
143;Рыбинск;Калуга;07.04.2023;00:00;любой
144;Рыбинск;Осиново;07.04.2023;00:00;любой
145;Серпухов;Ясногорск;07.04.2023;15:00;любой
146;Новороссийск;Пятигорск;07.04.2023;15:00;любой
147;Константиновское;Ясногорск;07.04.2023;16:00;любой
148;Иваново;Рыбинск;07.04.2023;00:00;задний
149;Богородское;Рыбинск;07.04.2023;00:00;задний
150;Иваново;Рыбинск;07.04.2023;00:00;задний
151;Краснодар;Новороссийск;07.04.2023;17:00;любой
152;Краснодар;Новороссийск;07.04.2023;17:00;любой
153;Рыбинск;Чебоксары;07.04.2023;00:00;любой
154;Новороссийск;Кропоткин;08.04.2023;12:00;любой
155;Новороссийск;Кропоткин;08.04.2023;12:00;любой
156;Ясногорск;Дзержинск;08.04.2023;22:00;любой
157;Рыбинск;Ясногорск;08.04.2023;00:00;любой
158;Рыбинск;Ясногорск;08.04.2023;00:00;любой
159;Рыбинск;Чебоксары;08.04.2023;00:00;любой
160;Рыбинск;Чебоксары;08.04.2023;00:00;любой
161;Рыбинск;Чебоксары;08.04.2023;00:00;любой
162;Рязань;Ясногорск;08.04.2023;15:00;любой
163;Суворов;Ясногорск;08.04.2023;15:00;любой
164;Рыбинск;Малоярославец;08.04.2023;00:00;любой
165;Большое Ступкино;Рыбинск;08.04.2023;00:00;любой
